setting_id,topology,dimension,overlap_ratio,overlap_ratio_target,seed,operator,rounds,longitudinal_conflict_reduction_ratio,mean_conflict_before,mean_regenerated_conflict_next,proposal_consensus_collapse_ratio_mean,conflict_oscillation,conflict_persistence_over_rounds,consensus_instability_over_rounds,objective_improvement_per_fe,FE_total,FE_commit_evaluation,FE_analysis_only,FE_coordination_extra,cross_baseline_evaluations_shared
m005_line_d500_o0.1,line,500,0.1,0.1,2,BestRewardSelection,5,0.0,0.30314970876632974,0.3093358012030119,1.0,1.0,1.0211008554716796,0.1155106027323682,0.09281156842218918,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,2,WeightedConsensus,5,0.0,0.3059147083780435,0.31332877904859063,1.0,0.6666666666666666,1.0248196445699254,0.0637888792201411,0.0985432881316161,95,5,0,0,False
m005_line_d500_o0.1,line,500,0.1,0.1,2,ConflictDampening,5,0.0,0.3754839426696786,0.40469404607806764,1.0,0.0,1.0883615834162672,0.03598121309905486,0.29108741400930765,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,0,NoCoordination,5,0.0,0.2535866099258451,0.2535866099258451,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,0,AverageConsensus,5,0.0,0.3813391146941324,0.42198562720595234,1.0,0.0,1.1320804890417862,0.04196648703795444,0.5557193474346844,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,0,BestRewardSelection,5,0.0,0.3150672555075949,0.3308591935846392,1.0,0.3333333333333333,1.059937576428291,0.1862895961784843,0.29178555558235447,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,0,WeightedConsensus,5,0.0,0.3117531030801012,0.3265388753091184,1.0,0.3333333333333333,1.0566129350883204,0.09394848610767723,0.31300608156837184,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,0,ConflictDampening,5,0.0,0.378716866603604,0.41920866246703525,1.0,0.0,1.1311397709435156,0.03685110541454073,0.5569204475796141,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,1,NoCoordination,5,0.0,0.3381649164867743,0.3381649164867743,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,1,AverageConsensus,5,0.0,0.4462720964780295,0.4824512713970533,1.0,0.0,1.0920798610898097,0.034685901242034724,0.433024261227767,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,1,BestRewardSelection,5,0.0,0.3401334491652158,0.3413582509000159,1.0,0.6666666666666666,1.0037358471790887,0.12299800285015515,0.10367724129795351,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,1,WeightedConsensus,5,0.0,0.34330577730722395,0.3453869160063971,1.0,1.0,1.0063108780640675,0.08007909272029692,0.18423369672515533,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,1,ConflictDampening,5,0.0,0.4423396152263909,0.47782937531799524,1.0,0.0,1.090272520188608,0.029029268077953883,0.4423599861898095,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,2,NoCoordination,5,0.0,0.30676717613747734,0.30676717613747734,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,2,AverageConsensus,5,0.0,0.4091955656966709,0.44331699159486865,1.0,0.0,1.0952022030202149,0.0392044840751492,0.5415495103241036,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,2,BestRewardSelection,5,0.0,0.33277010308150823,0.3384703568154364,1.0,0.6666666666666666,1.0192405287898378,0.15280757564247063,0.16298047124163872,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,2,WeightedConsensus,5,0.0,0.33134707805133495,0.3393973202363956,1.0,0.6666666666666666,1.0254774852064676,0.08746958650831951,0.1934818560499722,95,5,0,0,False
m006_line_d500_o0.2,line,500,0.2,0.2,2,ConflictDampening,5,0.0,0.4050411490098955,0.43888138738676286,1.0,0.0,1.0940753807307215,0.033883995880138906,0.5503342867676883,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,0,NoCoordination,5,0.0,0.29079128138059124,0.29079128138059124,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,0,AverageConsensus,5,0.0,0.3871775347467915,0.417101397445178,1.0,0.0,1.090308633195308,0.041155915300302555,0.8264434909487491,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,0,BestRewardSelection,5,0.0,0.36439008786042804,0.3857203376595531,1.0,0.3333333333333333,1.0713388553445875,0.2859692959497471,0.7738325634114154,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,0,WeightedConsensus,5,0.0,0.3508938472024921,0.37437171299757094,1.0,0.0,1.070875249364048,0.21735106642340288,0.7524035515907591,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,0,ConflictDampening,5,0.0,0.38485009993399244,0.41483176649155357,1.0,0.0,1.0899013466163048,0.03587470676811293,0.8398444021837981,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,1,NoCoordination,5,0.0,0.326323985357682,0.326323985357682,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,1,AverageConsensus,5,0.0,0.46777968338506903,0.5181305420927612,1.0,0.0,1.1248249928290979,0.03557506964695503,0.6937135908370239,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,1,BestRewardSelection,5,0.0,0.3864557676187445,0.40111228892762607,1.0,1.0,1.0670806757111575,0.25179714451470314,0.6378644255404948,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,1,WeightedConsensus,5,0.0,0.3766535932132217,0.39292946385826694,1.0,0.3333333333333333,1.052882169945038,0.16988022638235623,0.5418367305182773,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,1,ConflictDampening,5,0.0,0.4584711187799597,0.5069640980056477,1.0,0.0,1.120468504612752,0.029905240566002612,0.7051709662283582,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,2,NoCoordination,5,0.0,0.28713118410532584,0.28713118410532584,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,2,AverageConsensus,5,0.0,0.39549617893810485,0.4310661561247169,1.0,0.0,1.1049457654360968,0.03992749431913154,0.8339223488509894,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,2,BestRewardSelection,5,0.0,0.35481366957435373,0.393593758787391,1.0,0.6666666666666666,1.1139167064435374,0.28418108198966574,0.9017163116457979,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,2,WeightedConsensus,5,0.0,0.3396822358827669,0.3642036906962499,1.0,0.6666666666666666,1.0761261709685952,0.157488141263199,0.6994055909505805,95,5,0,0,False
m007_line_d500_o0.3,line,500,0.3,0.3,2,ConflictDampening,5,0.0,0.39176553026636884,0.42684275549377537,1.0,0.0,1.1033839285092681,0.03463983974931338,0.8402502349422672,95,5,0,0,False
m008_line_d1000_o0.05,line,1000,0.05,0.05,0,NoCoordination,5,0.0,0.2552417031929923,0.2552417031929923,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
m008_line_d1000_o0.05,line,1000,0.05,0.05,0,AverageConsensus,5,0.0,0.3366974774268193,0.36238665954173005,1.0,0.0,1.0883069786318598,0.0398678910207506,0.2511798741201059,95,5,0,0,False
m008_line_d1000_o0.05,line,1000,0.05,0.05,0,BestRewardSelection,5,0.0,0.29044677579919914,0.3014963912344058,1.0,0.6666666666666666,1.0409437939944621,0.10652082892236239,0.00905888979802159,95,5,0,0,False
m008_line_d1000_o0.05,line,1000,0.05,0.05,0,WeightedConsensus,5,0.0,0.2882565567040297,0.29917521655879786,1.0,0.3333333333333333,1.04001274073477,0.05011384883862086,0.03337180804259345,95,5,0,0,False
m008_line_d1000_o0.05,line,1000,0.05,0.05,0,ConflictDampening,5,0.0,0.33508238144425195,0.3606907792702552,1.0,0.0,1.0876012088256028,0.03577746121431085,0.2527837308985777,95,5,0,0,False
m008_line_d1000_o0.05,line,1000,0.05,0.05,1,NoCoordination,5,0.0,0.31041245405981227,0.31041245405981227,0.0,0.0,1.0,0.0,0.0,95,5,0,0,False
